# M,optimal
6.253126563281640182e-01,7.063212356524553925e+00
6.303151575787894201e-01,7.057897704682687845e+00
6.353176588294147109e-01,7.052411760983649636e+00
6.403201600800400017e-01,7.046764005464773994e+00
6.453226613306652926e-01,7.040964699828196061e+00
6.503251625812905834e-01,7.035029174839311672e+00
6.553276638319159852e-01,7.028966554911491471e+00
6.603301650825412761e-01,7.022784546537303996e+00
6.653326663331665669e-01,7.016490585595192897e+00
6.703351675837918577e-01,7.010091841341969499e+00
6.753376688344171486e-01,7.003595223103249445e+00
6.803401700850425504e-01,6.997007387851379434e+00
6.853426713356678412e-01,6.990334745786633164e+00
6.903451725862931321e-01,6.983583465053104788e+00
6.953476738369184229e-01,6.976759477220563888e+00
7.003501750875437137e-01,6.969868484867800085e+00
7.053526763381691156e-01,6.962915968767347863e+00
7.103551775887944064e-01,6.955907192516599835e+00
7.153576788394196972e-01,6.948847207267841775e+00
7.203601800900449881e-01,6.941740858975909312e+00
7.253626813406702789e-01,6.934592794578414043e+00
7.303651825912956808e-01,6.927407467411996755e+00
7.353676838419209716e-01,6.920189142885528000e+00
7.403701850925462624e-01,6.912941904371968427e+00
7.453726863431715532e-01,6.905669658765176244e+00
7.503751875937968441e-01,6.898376142060010707e+00
7.553776888444221349e-01,6.891064924868767427e+00
7.603801900950475368e-01,6.883739417831795215e+00
7.653826913456728276e-01,6.876402876898134231e+00
7.703851925962981184e-01,6.869058408525515524e+00
7.753876938469234092e-01,6.861708974861827848e+00
7.803901950975487001e-01,6.854357175509226963e+00
7.853926963481741019e-01,6.847003939816734608e+00
7.903951975987993928e-01,6.839649532111051755e+00
7.953976988494246836e-01,6.832294214242122798e+00
8.004002001000499744e-01,6.824938231747389672e+00
8.054027013506752652e-01,6.817581835217741748e+00
8.104052026013006671e-01,6.810225274165788711e+00
8.154077038519259579e-01,6.802868796087654601e+00
8.204102051025512488e-01,6.795512647173620913e+00
8.254127063531765396e-01,6.788157071671508724e+00
8.304152076038018304e-01,6.780802312440158630e+00
8.354177088544272323e-01,6.773448610617941235e+00
8.404202101050525231e-01,6.766096205993444634e+00
8.454227113556778139e-01,6.758745336525328717e+00
8.504252126063031048e-01,6.751396237824543789e+00
8.554277138569283956e-01,6.744049144546043983e+00
8.604302151075537974e-01,6.736704289879771324e+00
8.654327163581790883e-01,6.729361905068959260e+00
8.704352176088043791e-01,6.722022218785516756e+00
8.754377188594296699e-01,6.714685458617971392e+00
8.804402201100549608e-01,6.707351850549769345e+00
8.854427213606803626e-01,6.700021618712075799e+00
8.904452226113056534e-01,6.692694985008058595e+00
8.954477238619309443e-01,6.685372169957958022e+00
9.004502251125562351e-01,6.678053392430220114e+00
9.054527263631815259e-01,6.670738869527094828e+00
9.104552276138069278e-01,6.663428815649629300e+00
9.154577288644322186e-01,6.656123444344779649e+00
9.204602301150575094e-01,6.648822967148927177e+00
9.254627313656828003e-01,6.641527593702668320e+00
9.304652326163080911e-01,6.634237531246476749e+00
9.354677338669334929e-01,6.626952985691266562e+00
9.404702351175587838e-01,6.619674161184289751e+00
9.454727363681840746e-01,6.612401260049600715e+00
9.504752376188093654e-01,6.605134482768169946e+00
9.554777388694346563e-01,6.597874027958065213e+00
9.604802401200600581e-01,6.590620092286532561e+00
9.654827413706853489e-01,6.583372870320987502e+00
9.704852426213106398e-01,6.576132554795941054e+00
9.754877438719359306e-01,6.568899336479425699e+00
9.804902451225612214e-01,6.561673404140350385e+00
