S V(S) theta
8.610923656947044869e-01 6.760518454689464773e-01 2.000000000000000111e-01
8.640013763239337008e-01 6.729861340524266877e-01 2.000000000000000111e-01
8.669069737788095420e-01 6.699423760154350482e-01 2.000000000000000111e-01
8.698091525453449657e-01 6.669203348655868835e-01 2.000000000000000111e-01
8.727079071095520391e-01 6.639197776919401051e-01 2.000000000000000111e-01
8.756032319574433842e-01 6.609404750979016585e-01 2.000000000000000111e-01
8.784951216472050017e-01 6.579822010806835042e-01 2.000000000000000111e-01
8.813835711638560166e-01 6.550447326437079942e-01 2.000000000000000111e-01
8.842685756487135285e-01 6.521278499660447814e-01 2.000000000000000111e-01
8.871501302433274505e-01 6.492313365029306338e-01 2.000000000000000111e-01
8.900282300892483622e-01 6.463549789258767886e-01 2.000000000000000111e-01
8.929028703280259549e-01 6.434985670636270694e-01 2.000000000000000111e-01
8.957740461012105859e-01 6.406618938444124112e-01 2.000000000000000111e-01
8.986417525503527237e-01 6.378447552394719278e-01 2.000000000000000111e-01
9.015059848170019485e-01 6.350469502078087691e-01 2.000000000000000111e-01
9.043667380427087288e-01 6.322682806421431323e-01 2.000000000000000111e-01
9.072240074400004239e-01 6.295085512604957634e-01 2.000000000000000111e-01
9.100777886441369091e-01 6.267675692292097311e-01 2.000000000000000111e-01
9.129280774461554504e-01 6.240451443451354718e-01 2.000000000000000111e-01
9.157748696373345654e-01 6.213410891484605347e-01 2.000000000000000111e-01
9.186181610089528826e-01 6.186552188743537073e-01 2.000000000000000111e-01
9.214579473522891417e-01 6.159873514051542598e-01 2.000000000000000111e-01
9.242942244586217493e-01 6.133373072235784873e-01 2.000000000000000111e-01
9.271269881192293338e-01 6.107049093669175699e-01 2.000000000000000111e-01
9.299562341253906350e-01 6.080899833822019929e-01 2.000000000000000111e-01
9.327819582683840594e-01 6.054923572823098787e-01 2.000000000000000111e-01
9.356041564090449292e-01 6.029118614471347115e-01 2.000000000000000111e-01
9.384228248254907756e-01 6.003483282552992684e-01 2.000000000000000111e-01
9.412379599505878991e-01 5.978015922756717559e-01 2.000000000000000111e-01
9.440495582174514011e-01 5.952714903896850762e-01 2.000000000000000111e-01
