# M,optimal
5.902951475737868714e-01,6.515838645546131680e+00
6.003001500750374531e-01,6.567222208168284503e+00
6.103051525762881457e-01,6.617001882069895480e+00
6.203101550775387274e-01,6.665205165098360141e+00
6.303151575787894201e-01,6.711859797403398886e+00
6.403201600800400017e-01,6.756993738426738005e+00
6.503251625812905834e-01,6.800635135315062030e+00
6.603301650825412761e-01,6.842812286703286340e+00
6.703351675837918577e-01,6.883553616064328473e+00
6.803401700850425504e-01,6.922887648134276262e+00
6.903451725862931321e-01,6.960842983203899159e+00
7.003501750875437137e-01,6.997448260984523216e+00
7.103551775887944064e-01,7.032732136729796579e+00
7.203601800900449881e-01,7.066723257989759865e+00
7.303651825912956808e-01,7.099450243759899415e+00
7.403701850925462624e-01,7.130941650605170601e+00
7.503751875937968441e-01,7.161225951281384283e+00
7.603801900950475368e-01,7.190331512954505122e+00
7.703851925962981184e-01,7.218286579945594639e+00
7.803901950975487001e-01,7.245119243969778466e+00
7.903951975987993928e-01,7.270857425026144405e+00
8.004002001000499744e-01,7.295528851971543105e+00
8.104052026013006671e-01,7.319161047876777459e+00
8.204102051025512488e-01,7.341781305523257473e+00
8.304152076038018304e-01,7.363416670551484522e+00
8.404202101050525231e-01,7.384093924889820748e+00
8.504252126063031048e-01,7.403839573681000985e+00
8.604302151075537974e-01,7.422679827690189747e+00
8.704352176088043791e-01,7.440640588968724600e+00
8.804402201100549608e-01,7.457747436917394168e+00
8.904452226113056534e-01,7.474025615295400549e+00
9.004502251125562351e-01,7.489500020629628274e+00
9.104552276138069278e-01,7.504195190996072462e+00
9.204602301150575094e-01,7.518135296901713005e+00
9.304652326163080911e-01,7.531344130349965305e+00
9.404702351175587838e-01,7.543845096467952871e+00
9.504752376188093654e-01,7.555661204903195483e+00
9.604802401200600581e-01,7.566815062949257431e+00
9.704852426213106398e-01,7.577328869202576200e+00
9.804902451225612214e-01,7.587224407423552641e+00
9.904952476238119141e-01,7.596523041243161245e+00
1.000500250125062607e+00,7.605245710301558049e+00
1.010505252626313188e+00,7.613412926362030930e+00
1.020510255127563770e+00,7.621044769614886860e+00
1.030515257628814352e+00,7.628160887060467132e+00
1.040520260130064933e+00,7.634780490790662455e+00
1.050525262631315737e+00,7.640922355802802102e+00
1.060530265132566319e+00,7.646604819776746886e+00
1.070535267633816900e+00,7.651845783757878827e+00
1.080540270135067482e+00,7.656662712095200440e+00
1.090545272636318064e+00,7.661072632609988275e+00
1.100550275137568645e+00,7.665092139606662691e+00
1.110555277638819449e+00,7.668737395580312644e+00
1.120560280140070031e+00,7.672024132279104514e+00
1.130565282641320612e+00,7.674967654884123469e+00
1.140570285142571194e+00,7.677582845617992646e+00
1.150575287643821776e+00,7.679884166373899035e+00
1.160580290145072579e+00,7.681885662673025195e+00
1.170585292646323161e+00,7.683600969416112925e+00
1.180590295147573743e+00,7.685043314959568050e+00
1.190595297648824324e+00,7.686225524654400232e+00
1.200600300150074906e+00,7.687160028587091354e+00
1.210605302651325710e+00,7.687858867016164055e+00
1.220610305152576291e+00,7.688333695284750746e+00
1.230615307653826873e+00,7.688595787624794120e+00
1.240620310155077455e+00,7.688656047427770091e+00
1.250625312656328036e+00,7.688525012852718277e+00
1.260630315157578840e+00,7.688212862261477376e+00
1.270635317658829422e+00,7.687729419813063458e+00
1.280640320160080003e+00,7.687084165544813885e+00
1.290645322661330585e+00,7.686287361158861131e+00
1.300650325162581167e+00,7.685354337420601922e+00
1.310655327663831970e+00,7.684294218743406901e+00
1.320660330165082552e+00,7.683114711619845494e+00
1.330665332666333134e+00,7.681823251928360463e+00
1.340670335167583715e+00,7.680427008925763133e+00
1.350675337668834297e+00,7.678932891937667371e+00
1.360680340170085101e+00,7.677347557936421651e+00
1.370685342671335682e+00,7.675677417122301449e+00
1.380690345172586264e+00,7.673928637639397365e+00
1.390695347673836846e+00,7.672107151057482533e+00
1.400700350175087427e+00,7.670218659955344798e+00
1.410705352676338231e+00,7.668268645105516867e+00
1.420710355177588813e+00,7.666262370105394908e+00
1.430715357678839394e+00,7.664204886107261139e+00
1.440720360180089976e+00,7.662101039065954744e+00
1.450725362681340558e+00,7.659955475919083767e+00
1.460730365182591362e+00,7.657772650003292547e+00
1.470735367683841943e+00,7.655556826727449860e+00
1.480740370185092525e+00,7.653312089464514578e+00
1.490745372686343106e+00,7.651042345108348464e+00
1.500750375187593688e+00,7.648751329653807218e+00
1.510755377688844270e+00,7.646442613713188230e+00
1.520760380190095074e+00,7.644119607926842086e+00
1.530765382691345655e+00,7.641785568243807170e+00
1.540770385192596237e+00,7.639443601121814531e+00
1.550775387693846818e+00,7.637096668708751146e+00
1.560780390195097400e+00,7.634747370606774552e+00
1.570785392696348204e+00,7.632396636164908266e+00
1.580790395197598786e+00,7.630044729709851481e+00
1.590795397698849367e+00,7.627691913091548592e+00
1.600800400200099949e+00,7.625338431847439757e+00
1.610805402701350530e+00,7.622984536568417901e+00
1.620810405202601334e+00,7.620630476767089156e+00
1.630815407703851916e+00,7.618276499939581115e+00
1.640820410205102498e+00,7.615922852276171717e+00
1.650825412706353079e+00,7.613569778024685597e+00
1.660830415207603661e+00,7.611217520043959794e+00
1.670835417708854465e+00,7.608866319472366690e+00
1.680840420210105046e+00,7.606516416098497935e+00
1.690845422711355628e+00,7.604168047881006309e+00
1.700850425212606210e+00,7.601821450430847449e+00
1.710855427713856791e+00,7.599476858402971935e+00
