# x, F, dF, ddF, Fline, m, f, df, ddf, fline
5.2176,0.9775,-1.0000,0.0000,-3.4352,6.5220,0.9775,-0.8000,0.0000,-3.4352
5.2226,0.9725,-1.0000,0.0000,-3.4452,6.5283,0.9725,-0.8000,0.0000,-3.4452
5.2276,0.9675,-1.0000,0.0000,-3.4552,6.5345,0.9675,-0.8000,0.0000,-3.4552
5.2326,0.9625,-1.0000,0.0000,-3.4652,6.5408,0.9625,-0.8000,0.0000,-3.4652
5.2376,0.9575,-1.0000,0.0000,-3.4752,6.5470,0.9575,-0.8000,0.0000,-3.4752
5.2426,0.9525,-1.0000,0.0000,-3.4852,6.5533,0.9525,-0.8000,0.0000,-3.4852
5.2476,0.9475,-1.0000,0.0000,-3.4952,6.5595,0.9475,-0.8000,0.0000,-3.4952
5.2526,0.9425,-1.0000,0.0000,-3.5053,6.5658,0.9425,-0.8000,0.0000,-3.5053
5.2576,0.9375,-1.0000,0.0000,-3.5153,6.5720,0.9375,-0.8000,0.0000,-3.5153
5.2626,0.9325,-1.0000,0.0000,-3.5253,6.5783,0.9325,-0.8000,0.0000,-3.5253
5.2676,0.9275,-1.0000,0.0000,-3.5353,6.5845,0.9275,-0.8000,0.0000,-3.5353
5.2726,0.9225,-1.0000,0.0000,-3.5453,6.5908,0.9225,-0.8000,0.0000,-3.5453
5.2776,0.9175,-1.0000,0.0000,-3.5553,6.5970,0.9175,-0.8000,0.0000,-3.5553
5.2826,0.9125,-1.0000,0.0000,-3.5653,6.6033,0.9125,-0.8000,0.0000,-3.5653
5.2876,0.9075,-1.0000,0.0000,-3.5753,6.6096,0.9075,-0.8000,0.0000,-3.5753
5.2926,0.9025,-1.0000,0.0000,-3.5853,6.6158,0.9025,-0.8000,0.0000,-3.5853
5.2976,0.8975,-1.0000,0.0000,-3.5953,6.6221,0.8975,-0.8000,0.0000,-3.5953
5.3027,0.8925,-1.0000,0.0000,-3.6053,6.6283,0.8925,-0.8000,0.0000,-3.6053
5.3077,0.8875,-1.0000,0.0000,-3.6153,6.6346,0.8875,-0.8000,0.0000,-3.6153
5.3127,0.8825,-1.0000,0.0000,-3.6253,6.6408,0.8825,-0.8000,0.0000,-3.6253
5.3177,0.8775,-1.0000,0.0000,-3.6353,6.6471,0.8775,-0.8000,0.0000,-3.6353
5.3227,0.8725,-1.0000,0.0000,-3.6453,6.6533,0.8725,-0.8000,0.0000,-3.6453
5.3277,0.8675,-1.0000,0.0000,-3.6553,6.6596,0.8675,-0.8000,0.0000,-3.6553
5.3327,0.8625,-1.0000,0.0000,-3.6653,6.6658,0.8625,-0.8000,0.0000,-3.6653
5.3377,0.8575,-1.0000,0.0000,-3.6753,6.6721,0.8575,-0.8000,0.0000,-3.6753
5.3427,0.8525,-1.0000,0.0000,-3.6853,6.6783,0.8525,-0.8000,0.0000,-3.6853
5.3477,0.8475,-1.0000,0.0000,-3.6953,6.6846,0.8475,-0.8000,0.0000,-3.6953
5.3527,0.8425,-1.0000,0.0000,-3.7054,6.6908,0.8425,-0.8000,0.0000,-3.7054
5.3577,0.8375,-1.0000,0.0000,-3.7154,6.6971,0.8375,-0.8000,0.0000,-3.7154
5.3627,0.8325,-1.0000,0.0000,-3.7254,6.7034,0.8325,-0.8000,0.0000,-3.7254
5.3677,0.8275,-1.0000,0.0000,-3.7354,6.7096,0.8275,-0.8000,0.0000,-3.7354
5.3727,0.8225,-1.0000,0.0000,-3.7454,6.7159,0.8225,-0.8000,0.0000,-3.7454
5.3777,0.8175,-1.0000,0.0000,-3.7554,6.7221,0.8175,-0.8000,0.0000,-3.7554
5.3827,0.8125,-1.0000,0.0000,-3.7654,6.7284,0.8125,-0.8000,0.0000,-3.7654
5.3877,0.8075,-1.0000,0.0000,-3.7754,6.7346,0.8075,-0.8000,0.0000,-3.7754
5.3927,0.8025,-1.0000,0.0000,-3.7854,6.7409,0.8025,-0.8000,0.0000,-3.7854
5.3977,0.7975,-1.0000,0.0000,-3.7954,6.7471,0.7975,-0.8000,0.0000,-3.7954
5.4027,0.7925,-1.0000,0.0000,-3.8054,6.7534,0.7925,-0.8000,0.0000,-3.8054
5.4077,0.7875,-1.0000,0.0000,-3.8154,6.7596,0.7875,-0.8000,0.0000,-3.8154
5.4127,0.7824,-1.0000,0.0000,-3.8254,6.7659,0.7824,-0.8000,0.0000,-3.8254
5.4177,0.7774,-1.0000,0.0000,-3.8354,6.7721,0.7774,-0.8000,0.0000,-3.8354
5.4227,0.7724,-1.0000,0.0000,-3.8454,6.7784,0.7724,-0.8000,0.0000,-3.8454
5.4277,0.7674,-1.0000,0.0000,-3.8554,6.7846,0.7674,-0.8000,0.0000,-3.8554
5.4327,0.7624,-1.0000,0.0000,-3.8654,6.7909,0.7624,-0.8000,0.0000,-3.8654
5.4377,0.7574,-1.0000,0.0000,-3.8754,6.7971,0.7574,-0.8000,0.0000,-3.8754
5.4427,0.7524,-1.0000,0.0000,-3.8854,6.8034,0.7524,-0.8000,0.0000,-3.8854
5.4477,0.7474,-1.0000,0.0000,-3.8954,6.8097,0.7474,-0.8000,0.0000,-3.8954
5.4527,0.7424,-1.0000,0.0000,-3.9055,6.8159,0.7424,-0.8000,0.0000,-3.9055
5.4577,0.7374,-1.0000,0.0000,-3.9155,6.8222,0.7374,-0.8000,0.0000,-3.9155
5.4627,0.7324,-1.0000,0.0000,-3.9255,6.8284,0.7324,-0.8000,0.0000,-3.9255
5.4677,0.7274,-1.0000,0.0000,-3.9355,6.8347,0.7274,-0.8000,0.0000,-3.9355
5.4727,0.7224,-1.0000,0.0000,-3.9455,6.8409,0.7224,-0.8000,0.0000,-3.9455
5.4777,0.7174,-1.0000,0.0000,-3.9555,6.8472,0.7174,-0.8000,0.0000,-3.9555
5.4827,0.7124,-1.0000,0.0000,-3.9655,6.8534,0.7124,-0.8000,0.0000,-3.9655
5.4877,0.7074,-1.0000,0.0000,-3.9755,6.8597,0.7074,-0.8000,0.0000,-3.9755
5.4927,0.7024,-1.0000,0.0000,-3.9855,6.8659,0.7024,-0.8000,0.0000,-3.9855
5.4977,0.6974,-1.0000,0.0000,-3.9955,6.8722,0.6974,-0.8000,0.0000,-3.9955
5.5028,0.6924,-1.0000,0.0000,-4.0055,6.8784,0.6924,-0.8000,0.0000,-4.0055
5.5078,0.6874,-1.0000,0.0000,-4.0155,6.8847,0.6874,-0.8000,0.0000,-4.0155
5.5128,0.6824,-1.0000,0.0000,-4.0255,6.8909,0.6824,-0.8000,0.0000,-4.0255
5.5178,0.6774,-1.0000,0.0000,-4.0355,6.8972,0.6774,-0.8000,0.0000,-4.0355
5.5228,0.6724,-1.0000,0.0000,-4.0455,6.9035,0.6724,-0.8000,0.0000,-4.0455
5.5278,0.6674,-1.0000,0.0000,-4.0555,6.9097,0.6674,-0.8000,0.0000,-4.0555
5.5328,0.6624,-1.0000,0.0000,-4.0655,6.9160,0.6624,-0.8000,0.0000,-4.0655
5.5378,0.6574,-1.0000,0.0000,-4.0755,6.9222,0.6574,-0.8000,0.0000,-4.0755
5.5428,0.6524,-1.0000,0.0000,-4.0855,6.9285,0.6524,-0.8000,0.0000,-4.0855
5.5478,0.6474,-1.0000,0.0000,-4.0955,6.9347,0.6474,-0.8000,0.0000,-4.0955
5.5528,0.6424,-1.0000,0.0000,-4.1056,6.9410,0.6424,-0.8000,0.0000,-4.1056
5.5578,0.6374,-1.0000,0.0000,-4.1156,6.9472,0.6374,-0.8000,0.0000,-4.1156
5.5628,0.6324,-1.0000,0.0000,-4.1256,6.9535,0.6324,-0.8000,0.0000,-4.1256
