# M,mandate
1.090545272636318064e+00,7.261015110065223155e+00
1.100550275137568645e+00,7.262737731158579457e+00
1.110555277638819449e+00,7.264104289684747862e+00
1.120560280140070031e+00,7.265130210784654707e+00
1.130565282641320612e+00,7.265830494866565736e+00
1.140570285142571194e+00,7.266219720921748504e+00
1.150575287643821776e+00,7.266312051813494044e+00
1.160580290145072579e+00,7.266121237856439485e+00
1.170585292646323161e+00,7.265660619918002716e+00
1.180590295147573743e+00,7.264943136288172454e+00
1.190595297648824324e+00,7.263981327637460517e+00
1.200600300150074906e+00,7.262787340884870879e+00
1.210605302651325710e+00,7.261372936040514148e+00
1.220610305152576291e+00,7.259749492770991353e+00
1.230615307653826873e+00,7.257928015549421019e+00
1.240620310155077455e+00,7.255919139461105338e+00
1.250625312656328036e+00,7.253733138460614960e+00
1.260630315157578840e+00,7.251379931487072383e+00
1.270635317658829422e+00,7.248869087837591429e+00
1.280640320160080003e+00,7.246209835955450096e+00
1.290645322661330585e+00,7.243411070441938548e+00
1.300650325162581167e+00,7.240481357896751291e+00
1.310655327663831970e+00,7.237428944913561146e+00
1.320660330165082552e+00,7.234261766131424132e+00
1.330665332666333134e+00,7.230987450866347643e+00
1.340670335167583715e+00,7.227613329788704633e+00
1.350675337668834297e+00,7.224146443911186211e+00
1.360680340170085101e+00,7.220593551594268966e+00
1.370685342671335682e+00,7.216961134802637901e+00
1.380690345172586264e+00,7.213255407823771392e+00
1.390695347673836846e+00,7.209482324723367697e+00
1.400700350175087427e+00,7.205647585789245468e+00
1.410705352676338231e+00,7.201756645154690162e+00
1.420710355177588813e+00,7.197814718741518902e+00
1.430715357678839394e+00,7.193826790991440845e+00
1.440720360180089976e+00,7.189797621333324784e+00
1.450725362681340558e+00,7.185731752352463531e+00
1.460730365182591362e+00,7.181633516497610614e+00
1.470735367683841943e+00,7.177507042179934516e+00
1.480740370185092525e+00,7.173356261265901423e+00
1.490745372686343106e+00,7.169184915856270379e+00
1.500750375187593688e+00,7.164996564330884610e+00
1.510755377688844270e+00,7.160794587827368218e+00
1.520760380190095074e+00,7.156582197034574655e+00
1.530765382691345655e+00,7.152362438154240110e+00
1.540770385192596237e+00,7.148138198555352041e+00
1.550775387693846818e+00,7.143912213313191373e+00
1.560780390195097400e+00,7.139687070906374444e+00
