# M,mandate
2.231115557778889258e+00,7.098437579214238902e+00
2.241120560280140062e+00,7.096288516766311005e+00
2.251125562781390421e+00,7.202115492156486276e+00
2.261130565282641225e+00,7.200013496870324659e+00
2.271135567783892029e+00,7.197934659429614968e+00
2.281140570285142388e+00,7.195878711716554577e+00
2.291145572786393192e+00,7.193845389785811228e+00
2.301150575287643552e+00,7.191834433818987904e+00
2.311155577788894355e+00,7.189845588078489058e+00
2.321160580290145159e+00,7.187878600860769573e+00
2.331165582791395519e+00,7.185933224449075674e+00
2.341170585292646322e+00,7.184009215065698228e+00
2.351175587793896682e+00,7.182106332823801509e+00
2.361180590295147486e+00,7.180224341678878019e+00
2.371185592796398289e+00,7.178363009379877369e+00
2.381190595297648649e+00,7.176522107420042929e+00
2.391195597798899453e+00,7.174701410987525563e+00
2.401200600300149812e+00,7.172900698915798401e+00
2.411205602801400616e+00,7.171119753633920624e+00
2.421210605302651420e+00,7.169358361116691114e+00
2.431215607803901779e+00,7.167616310834739046e+00
2.441220610305152583e+00,7.165893395704568292e+00
2.451225612806402943e+00,7.164189412038624916e+00
2.461230615307653746e+00,7.162504159495385991e+00
2.471235617808904550e+00,7.160837441029530126e+00
2.481240620310154910e+00,7.159189062842220785e+00
2.491245622811405713e+00,7.157558834331507747e+00
2.501250625312656073e+00,7.155946568042915068e+00
2.511255627813906877e+00,7.154352079620206695e+00
2.521260630315157680e+00,7.152775187756382103e+00
2.531265632816408040e+00,7.151215714144932178e+00
2.541270635317658844e+00,7.149673483431337573e+00
2.551275637818909203e+00,7.148148323164896567e+00
2.561280640320160007e+00,7.146640063750840710e+00
2.571285642821410811e+00,7.145148538402816385e+00
2.581290645322661170e+00,7.143673583095710988e+00
2.591295647823911974e+00,7.142215036518860138e+00
2.601300650325162334e+00,7.140772740029654564e+00
2.611305652826413137e+00,7.139346537607547560e+00
2.621310655327663941e+00,7.137936275808522524e+00
2.631315657828914301e+00,7.136541803719955723e+00
2.641320660330165104e+00,7.135162972915986224e+00
2.651325662831415464e+00,7.133799637413316574e+00
2.661330665332666268e+00,7.132451653627513544e+00
2.671335667833917071e+00,7.131118880329813337e+00
2.681340670335167431e+00,7.129801178604393996e+00
2.691345672836418235e+00,7.128498411806195811e+00
2.701350675337668594e+00,7.127210445519239101e+00
2.711355677838919398e+00,7.125937147515486458e+00
2.721360680340170202e+00,7.124678387714219241e+00
2.731365682841420561e+00,7.123434038141974511e+00
2.741370685342671365e+00,7.122203972893025536e+00
2.751375687843921725e+00,7.120988068090391643e+00
2.761380690345172528e+00,7.119786201847435159e+00
2.771385692846423332e+00,7.118598254229985933e+00
2.781390695347673692e+00,7.117424107219056495e+00
2.791395697848924495e+00,7.116263644674088340e+00
