# M,optimal
6.203101550775387274e-01,7.388267925204622388e-01
6.303151575787894201e-01,7.399969388834291006e-01
6.403201600800400017e-01,7.409163600219162982e-01
6.503251625812905834e-01,7.415905640050810543e-01
6.603301650825412761e-01,7.420250643454948669e-01
6.703351675837918577e-01,7.422253749653475730e-01
6.803401700850425504e-01,7.421970052786627248e-01
6.903451725862931321e-01,7.419454553946961406e-01
7.003501750875437137e-01,7.414762114473324450e-01
7.103551775887944064e-01,7.407947410549327039e-01
7.203601800900449881e-01,7.399064889147212165e-01
7.303651825912956808e-01,7.388168725354395949e-01
7.403701850925462624e-01,7.375312781116288852e-01
7.503751875937968441e-01,7.360550565425418856e-01
7.603801900950475368e-01,7.343935195983253283e-01
7.703851925962981184e-01,7.325519362357577613e-01
7.803901950975487001e-01,7.305355290654741429e-01
7.903951975987993928e-01,7.283494709722619920e-01
8.004002001000499744e-01,7.259988818896717655e-01
8.104052026013006671e-01,7.234888257298475178e-01
8.204102051025512488e-01,7.208243074691575991e-01
8.304152076038018304e-01,7.180102703898825212e-01
8.404202101050525231e-01,7.150515934779059224e-01
8.504252126063031048e-01,7.119530889760530279e-01
8.604302151075537974e-01,7.087195000924229049e-01
8.704352176088043791e-01,7.053554988627844802e-01
8.804402201100549608e-01,7.018656841658259538e-01
8.904452226113056534e-01,6.982545798897911160e-01
9.004502251125562351e-01,6.945266332487837202e-01
9.104552276138069278e-01,6.906862132467802562e-01
9.204602301150575094e-01,6.867376092871670945e-01
9.304652326163080911e-01,6.826850299254025867e-01
9.404702351175587838e-01,6.785326017622019812e-01
9.504752376188093654e-01,6.742843684744519450e-01
9.604802401200600581e-01,6.699442899808867313e-01
9.704852426213106398e-01,6.655162417393900576e-01
9.804902451225612214e-01,6.610040141726388763e-01
9.904952476238119141e-01,6.564267014596101291e-01
1.000500250125062607e+00,6.518787870798133932e-01
1.010505252626313188e+00,6.473754760372134598e-01
1.020510255127563770e+00,6.429164138803433737e-01
1.030515257628814352e+00,6.385012413009808485e-01
1.040520260130064933e+00,6.341295943551483738e-01
1.050525262631315737e+00,6.298011046831090143e-01
1.060530265132566319e+00,6.255153997282195677e-01
1.070535267633816900e+00,6.212721029544995277e-01
1.080540270135067482e+00,6.170708340627850674e-01
1.090545272636318064e+00,6.129112092053358163e-01
1.100550275137568645e+00,6.087928411987671984e-01
1.110555277638819449e+00,6.047153397351853199e-01
1.120560280140070031e+00,6.006783115914040572e-01
1.130565282641320612e+00,5.966813608361285493e-01
1.140570285142571194e+00,5.927240890349926294e-01
1.150575287643821776e+00,5.888060954533419489e-01
1.160580290145072579e+00,5.849269772566574321e-01
1.170585292646323161e+00,5.810863297085203660e-01
1.180590295147573743e+00,5.772837463660196455e-01
1.190595297648824324e+00,5.735188192725106937e-01
1.200600300150074906e+00,5.697911391476372378e-01
1.210605302651325710e+00,5.661002955745296772e-01
1.220610305152576291e+00,5.624458771841018834e-01
1.230615307653826873e+00,5.588274718363670512e-01
1.240620310155077455e+00,5.552446667987038786e-01
1.250625312656328036e+00,5.516970489210000217e-01
1.260630315157578840e+00,5.481842048076130958e-01
1.270635317658829422e+00,5.447057209860857174e-01
1.280640320160080003e+00,5.412611840725588541e-01
1.290645322661330585e+00,5.378501809338328554e-01
1.300650325162581167e+00,5.344722988460258728e-01
1.310655327663831970e+00,5.311271256497853699e-01
1.320660330165082552e+00,5.278142499020140876e-01
1.330665332666333134e+00,5.245332610240716065e-01
1.340670335167583715e+00,5.212837494464194199e-01
1.350675337668834297e+00,5.180653067496818753e-01
1.360680340170085101e+00,5.148775258020948931e-01
1.370685342671335682e+00,5.117200008933241451e-01
1.380690345172586264e+00,5.085923278646313772e-01
1.390695347673836846e+00,5.054941042353768843e-01
1.400700350175087427e+00,5.024249293258467031e-01
1.410705352676338231e+00,4.993844043763958629e-01
1.420710355177588813e+00,4.963721326629049191e-01
1.430715357678839394e+00,4.933877196085483807e-01
1.440720360180089976e+00,4.904307728918775866e-01
1.450725362681340558e+00,4.875009025512233585e-01
1.460730365182591362e+00,4.845977210854272577e-01
1.470735367683841943e+00,4.817208435509136022e-01
1.480740370185092525e+00,4.788699836813564703e-01
1.490745372686343106e+00,4.760454425210383089e-01
1.500750375187593688e+00,4.732472042670577972e-01
1.510755377688844270e+00,4.704751677947591748e-01
1.520760380190095074e+00,4.677292310160802713e-01
1.530765382691345655e+00,4.650092908955290039e-01
1.540770385192596237e+00,4.623152434661949028e-01
1.550775387693846818e+00,4.596469838457942769e-01
1.560780390195097400e+00,4.570044062527455209e-01
1.570785392696348204e+00,4.543874040222704580e-01
1.580790395197598786e+00,4.517958696225202186e-01
1.590795397698849367e+00,4.492296946707212135e-01
1.600800400200099949e+00,4.466887699493392594e-01
1.610805402701350530e+00,4.441729854222582485e-01
1.620810405202601334e+00,4.416822302509701426e-01
1.630815407703851916e+00,4.392163928107745696e-01
1.640820410205102498e+00,4.367753607069828625e-01
1.650825412706353079e+00,4.343590207911260381e-01
1.660830415207603661e+00,4.319672591771618886e-01
1.670835417708854465e+00,4.295999612576796300e-01
1.680840420210105046e+00,4.272570117200980011e-01
1.690845422711355628e+00,4.249382945628549235e-01
1.700850425212606210e+00,4.226436931115852280e-01
1.710855427713856791e+00,4.203730900352843358e-01
1.720860430215107595e+00,4.181263673624541766e-01
1.730865432716358177e+00,4.159034064972293998e-01
1.740870435217608758e+00,4.137040882354802718e-01
1.750875437718859340e+00,4.115282927808905367e-01
1.760880440220109922e+00,4.093758997610068007e-01
1.770885442721360725e+00,4.072467882432565522e-01
1.780890445222611307e+00,4.051408367509334307e-01
1.790895447723861889e+00,4.030579232791453581e-01
1.800900450225112470e+00,4.009979253107240904e-01
1.810905452726363052e+00,3.989607198320937465e-01
1.820910455227613856e+00,3.969461833490944280e-01
1.830915457728864437e+00,3.949541919027605430e-01
1.840920460230115019e+00,3.929846210850486687e-01
1.850925462731365601e+00,3.910373460545151225e-01
1.860930465232616182e+00,3.891122415519390199e-01
1.870935467733866986e+00,3.872091819158889892e-01
1.880940470235117568e+00,3.853280410982313775e-01
1.890945472736368149e+00,3.834686926795772277e-01
1.900950475237618731e+00,3.816310098846658061e-01
1.910955477738869313e+00,3.798148655976826826e-01
1.920960480240120116e+00,3.780201323775096434e-01
1.930965482741370698e+00,3.762466824729046588e-01
1.940970485242621280e+00,3.744943878376091329e-01
1.950975487743871861e+00,3.727631201453811549e-01
1.960980490245122443e+00,3.710527508049516476e-01
1.970985492746373025e+00,3.693631509749020214e-01
1.980990495247623828e+00,3.676941915784611159e-01
1.990995497748874410e+00,3.660457433182190412e-01
2.001000500250125214e+00,3.644176766907565312e-01
2.011005502751375573e+00,3.628098620011873665e-01
2.021010505252626377e+00,3.612221693776118681e-01
2.031015507753876737e+00,3.596544687854805744e-01
2.041020510255127540e+00,3.581066300418643822e-01
2.051025512756378344e+00,3.565785228296316500e-01
2.061030515257628704e+00,3.550700167115283246e-01
2.071035517758879507e+00,3.535809811441605888e-01
2.081040520260129867e+00,3.521112854918784230e-01
2.091045522761380671e+00,3.506607990405571362e-01
2.101050525262631474e+00,3.492293910112772015e-01
