# M,optimal
8.804402201100549608e-01,5.193810754621527304e-01
8.904452226113056534e-01,5.189112972883145325e-01
9.004502251125562351e-01,5.183710428607354315e-01
9.104552276138069278e-01,5.177626445806550182e-01
9.204602301150575094e-01,5.170883966616730554e-01
9.304652326163080911e-01,5.163505543218492866e-01
9.404702351175587838e-01,5.155513330502348168e-01
9.504752376188093654e-01,5.146929079465915047e-01
9.604802401200600581e-01,5.137774131329525540e-01
9.704852426213106398e-01,5.128069412355829026e-01
9.804902451225612214e-01,5.117835429358082999e-01
9.904952476238119141e-01,5.107092265881000293e-01
1.000500250125062607e+00,5.095859579037240739e-01
1.010505252626313188e+00,5.084156596981970200e-01
1.020510255127563770e+00,5.072002117007253785e-01
1.030515257628814352e+00,5.059414504237490506e-01
1.040520260130064933e+00,5.046411690906599246e-01
1.050525262631315737e+00,5.033011176197201841e-01
1.060530265132566319e+00,5.019230026621698260e-01
1.070535267633816900e+00,5.005084876924786874e-01
1.080540270135067482e+00,4.990591931486716426e-01
1.090545272636318064e+00,4.975766966206384145e-01
1.100550275137568645e+00,4.960625330843193015e-01
1.110555277638819449e+00,4.945181951796539521e-01
1.120560280140070031e+00,4.929451335301723858e-01
1.130565282641320612e+00,4.913447571021094529e-01
1.140570285142571194e+00,4.897184336009294259e-01
1.150575287643821776e+00,4.880674899031581249e-01
1.160580290145072579e+00,4.863932125214333047e-01
1.170585292646323161e+00,4.846968481007038476e-01
1.180590295147573743e+00,4.829796039435310662e-01
1.190595297648824324e+00,4.812426485624718975e-01
1.200600300150074906e+00,4.794871122575534161e-01
1.210605302651325710e+00,4.777140877168826183e-01
1.220610305152576291e+00,4.759246306384706249e-01
1.230615307653826873e+00,4.741197603713916964e-01
1.240620310155077455e+00,4.723004605744372530e-01
1.250625312656328036e+00,4.704676798904718349e-01
1.260630315157578840e+00,4.686223326347433993e-01
1.270635317658829422e+00,4.667652994954492041e-01
1.280640320160080003e+00,4.648974282449087059e-01
1.290645322661330585e+00,4.630195344597484164e-01
1.300650325162581167e+00,4.611324022485547847e-01
1.310655327663831970e+00,4.592367849855080175e-01
1.320660330165082552e+00,4.573334060485628738e-01
1.330665332666333134e+00,4.554229595608011993e-01
1.340670335167583715e+00,4.535061111336354811e-01
1.350675337668834297e+00,4.515834986106022075e-01
1.360680340170085101e+00,4.496557328105389439e-01
1.370685342671335682e+00,4.477233982689989844e-01
1.380690345172586264e+00,4.457870539768126195e-01
1.390695347673836846e+00,4.438472341147635669e-01
1.400700350175087427e+00,4.419044487834038470e-01
1.410705352676338231e+00,4.399591847270886147e-01
1.420710355177588813e+00,4.380119060513673612e-01
1.430715357678839394e+00,4.360630549329217454e-01
1.440720360180089976e+00,4.341156501947937008e-01
1.450725362681340558e+00,4.321855046950956458e-01
1.460730365182591362e+00,4.302751599869488741e-01
1.470735367683841943e+00,4.283845391840514494e-01
1.480740370185092525e+00,4.265135646671097680e-01
1.490745372686343106e+00,4.246621580958726550e-01
1.500750375187593688e+00,4.228302404211949361e-01
1.510755377688844270e+00,4.210177318971291549e-01
1.520760380190095074e+00,4.192245520930427682e-01
1.530765382691345655e+00,4.174506199057581024e-01
1.540770385192596237e+00,4.156958535717135694e-01
1.550775387693846818e+00,4.139601706791427027e-01
1.560780390195097400e+00,4.122434881802702344e-01
1.570785392696348204e+00,4.105457224035212738e-01
1.580790395197598786e+00,4.088667890657424753e-01
1.590795397698849367e+00,4.072066032844325889e-01
1.600800400200099949e+00,4.055650795899798378e-01
1.610805402701350530e+00,4.039421319379043473e-01
1.620810405202601334e+00,4.023376737211030729e-01
1.630815407703851916e+00,4.007516177820954484e-01
1.640820410205102498e+00,3.991838764252664262e-01
1.650825412706353079e+00,3.976343614291067419e-01
1.660830415207603661e+00,3.961029840584456285e-01
1.670835417708854465e+00,3.945896550766764266e-01
1.680840420210105046e+00,3.930942847579711463e-01
1.690845422711355628e+00,3.916167828994822631e-01
1.700850425212606210e+00,3.901570588335302459e-01
1.710855427713856791e+00,3.887150214397741554e-01
1.720860430215107595e+00,3.872905791573634238e-01
1.730865432716358177e+00,3.858836399970684283e-01
1.740870435217608758e+00,3.844941115533885290e-01
1.750875437718859340e+00,3.831219010166350136e-01
1.760880440220109922e+00,3.817669151849867881e-01
1.770885442721360725e+00,3.804290604765176442e-01
1.780890445222611307e+00,3.791082429411922750e-01
1.790895447723861889e+00,3.778043682728294272e-01
1.800900450225112470e+00,3.765173418210305267e-01
1.810905452726363052e+00,3.752470686030715541e-01
1.820910455227613856e+00,3.739934533157562302e-01
1.830915457728864437e+00,3.727564003472293441e-01
1.840920460230115019e+00,3.715358137887471157e-01
1.850925462731365601e+00,3.703315974464042037e-01
1.860930465232616182e+00,3.691436548528145289e-01
1.870935467733866986e+00,3.679718892787448015e-01
1.880940470235117568e+00,3.668162037446986434e-01
1.890945472736368149e+00,3.656765010324495857e-01
1.900950475237618731e+00,3.645526836965215511e-01
1.910955477738869313e+00,3.634446540756147703e-01
1.920960480240120116e+00,3.623523143039760197e-01
1.930965482741370698e+00,3.612755663227109060e-01
1.940970485242621280e+00,3.602143118910369202e-01
1.950975487743871861e+00,3.591684525974760400e-01
1.960980490245122443e+00,3.581378898709847713e-01
1.970985492746373025e+00,3.571225249920202405e-01
1.980990495247623828e+00,3.561222591035411722e-01
1.990995497748874410e+00,3.551369932219419212e-01
2.001000500250125214e+00,3.541666282479185024e-01
2.011005502751375573e+00,3.532110649772643995e-01
2.021010505252626377e+00,3.522702041115961524e-01
2.031015507753876737e+00,3.513439462690057802e-01
2.041020510255127540e+00,3.504321919946400410e-01
2.051025512756378344e+00,3.495348417712041966e-01
2.061030515257628704e+00,3.486517960293900598e-01
2.071035517758879507e+00,3.477829551582254930e-01
2.081040520260129867e+00,3.469282195153464143e-01
2.091045522761380671e+00,3.460874894371875343e-01
2.101050525262631474e+00,3.452606652490929351e-01
2.111055527763881834e+00,3.444476472753437712e-01
2.121060530265132638e+00,3.436483358491025930e-01
2.131065532766382997e+00,3.428626313222736255e-01
2.141070535267633801e+00,3.420904340752766726e-01
2.151075537768884161e+00,3.413316445267353672e-01
2.161080540270134964e+00,3.405861631430771030e-01
2.171085542771385768e+00,3.398538904480447043e-01
2.181090545272636128e+00,3.391347270321183882e-01
2.191095547773886931e+00,3.384285735618475233e-01
2.201100550275137291e+00,3.377353307890909595e-01
2.211105552776388095e+00,3.370548995601649889e-01
2.221110555277638898e+00,3.363871808248983797e-01
2.231115557778889258e+00,3.357320756455937638e-01
2.241120560280140062e+00,3.350894852058937667e-01
2.251125562781390421e+00,3.344593108195527131e-01
2.261130565282641225e+00,3.338414539391111324e-01
2.271135567783892029e+00,3.332358161644743966e-01
2.281140570285142388e+00,3.326422992513932142e-01
2.291145572786393192e+00,3.320608051198461474e-01
2.301150575287643552e+00,3.314912358623238187e-01
2.311155577788894355e+00,3.309334937520128639e-01
2.321160580290145159e+00,3.303874812508810765e-01
2.331165582791395519e+00,3.298531010176610767e-01
2.341170585292646322e+00,3.293302559157338383e-01
2.351175587793896682e+00,3.288188490209102421e-01
2.361180590295147486e+00,3.283187836291109885e-01
2.371185592796398289e+00,3.278299632639442573e-01
2.381190595297648649e+00,3.273522916841803965e-01
2.391195597798899453e+00,3.268856728911235243e-01
2.401200600300149812e+00,3.264300111358803269e-01
2.411205602801400616e+00,3.259852109265237718e-01
2.421210605302651420e+00,3.255511770351543488e-01
2.431215607803901779e+00,3.251278145048555057e-01
2.441220610305152583e+00,3.247150286565455013e-01
2.451225612806402943e+00,3.243127250957241192e-01
