# M,mandate
5.957978989494747246e+00,8.855158247457062259e+00
5.972986493246623674e+00,8.860036198833588728e+00
5.987993996998499213e+00,8.864920769598221284e+00
6.003001500750375641e+00,8.869811933651003955e+00
6.018009004502251180e+00,8.874709665080036558e+00
6.033016508254126720e+00,8.879613938146793117e+00
6.048024012006002259e+00,8.884524727279771383e+00
6.063031515757879575e+00,8.889442007079619401e+00
6.078039019509755114e+00,8.894365752311507833e+00
6.093046523261630654e+00,8.899295937906945397e+00
6.108054027013507081e+00,8.904232538969212740e+00
6.123061530765382621e+00,8.909175530761960005e+00
6.138069034517258160e+00,8.914124888707890548e+00
6.153076538269135476e+00,8.919080588389562081e+00
6.168084042021011015e+00,8.924042605554355134e+00
6.183091545772886555e+00,8.929010916099013428e+00
6.198099049524762094e+00,8.933985496087210265e+00
6.213106553276638522e+00,8.938966321729379771e+00
6.228114057028514061e+00,8.943953369387541485e+00
6.243121560780389601e+00,8.948946615582091368e+00
6.258129064532266916e+00,8.953946036973567502e+00
